Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
2018-01-01,5499,11483,253490,123,7
2018-01-02,18818,39352,253558,125,12
2018-01-03,24299,42853,253591,164,4
2018-01-04,1922,5328,253604,2,1
2018-01-05,4972,14303,253614,14,0
2018-01-06,4294,9479,253624,9,2
2018-01-07,5640,9387,253640,41,4
2018-01-08,15820,31294,253661,45,4
2018-01-09,25090,50981,253690,112,17
2018-01-10,28252,50218,253720,142,18
2018-01-11,33961,66584,253757,244,15
2018-01-12,22252,46403,253786,152,16
2018-01-13,17758,30418,253809,355,31
2018-01-14,12394,32949,253827,183,9
2018-01-15,17637,41770,253857,150,8
2018-01-16,30278,60053,253895,189,13
2018-01-17,19010,36319,253921,52,12
2018-01-18,27662,52573,253952,92,18
2018-01-19,30525,50322,253983,216,15
2018-01-20,28507,59336,254025,1044,41
2018-01-21,27908,61571,254092,1013,26
2018-01-22,36864,68638,254144,345,25
2018-01-23,28796,63693,254191,179,19
2018-01-24,36078,69596,254236,232,32
2018-01-25,31147,51927,254263,181,16
2018-01-26,33073,61857,254301,313,23
2018-01-27,34348,70146,254368,1415,41
2018-01-28,20100,38221,254415,334,22
2018-01-29,36799,68868,254466,274,33
2018-01-30,27996,59260,254492,114,15
2018-01-31,31276,54440,254539,141,19
2018-02-01,35561,66984,254590,212,27
2018-02-02,26313,50427,254620,129,18
2018-02-03,18385,40020,254640,263,23
2018-02-04,13959,35121,254670,224,7
2018-02-05,29068,56061,254725,193,21
2018-02-06,34102,68060,254760,160,18
2018-02-07,15289,31573,254781,30,4
2018-02-08,31563,60985,254806,168,20
2018-02-09,31567,57070,254833,223,25
2018-02-10,16323,37641,254857,343,26
2018-02-11,8809,21167,254877,85,2
2018-02-12,35138,68283,254922,339,40
2018-02-13,35189,69420,254968,252,31
2018-02-14,39591,80081,255002,408,39
2018-02-15,44193,88474,255044,501,28
2018-02-16,29191,57219,255088,316,37
2018-02-17,17921,38834,255118,537,51
2018-02-18,21537,50512,255151,938,40
2018-02-19,25677,62150,255217,553,50
2018-02-20,44478,98129,255306,906,85
